Name,Type,MV,Colors,Cost,Sub-types,Produced,Flags,Power,FlagsVer
Exsanguinate,Sorcery,2,B,{X}{B}{B},,,,,3
Extinction Event,Sorcery,4,B,{3}{B},,,,,3
Extract Power,Sorcery,6,U,{5}{U},,,,,3
Extremis Elite,Creature,2,R,{1}{R},Human;Mercenary;Villain,,,2,3
Eye Spy,Sorcery,1,U,{U},,,,,3
Eye of Nidhogg,Enchantment,3,B,{2}{B},Aura,,,,3
"Ezekiel Sims, Spider-Totem",Creature,5,G,{4}{G},Spider;Human;Advisor,,,3,3
Fabled Passage,Land,0,,,,,fetch:basic;ramp,,3
Faerie Conclave,Land,0,U,,,U,etb-tapped,,3
Faerie Formation,Creature,5,U,{4}{U},Faerie,,draw,5,3
Faith Healer,Creature,2,W,{1}{W},Human;Cleric,,,1,3
Faithless Looting,Sorcery,1,R,{R},,,draw,,3
Falcon and Redwing,Creature,3,W,{2}{W},Human;Bird;Hero,,,1,3
Falcon's Wing Harness,Artifact,2,U,{1}{U},Equipment,,,,3
"Falcon, Winged Wonder",Creature,5,U,{4}{U},Human;Hero,,,3,3
Fallen Angel,Creature,5,B,{3}{B}{B},Angel,,,3,3
False Demise,Enchantment,3,U,{2}{U},Aura,,,,3
False Prophet,Creature,4,W,{2}{W}{W},Human;Cleric,,,2,3
Familiar Ground,Enchantment,3,G,{2}{G},,,,,3
Fanatical Devotion,Enchantment,3,W,{2}{W},,,,,3
"Fandaniel, Telophoroi Ascian",Creature,5,B,{4}{B},Elder;Wizard,,,4,3
Fang-Druid Summoner,Creature,4,G,{3}{G},Ape;Druid,,,2,3
Farseek,Sorcery,2,G,{1}{G},,,fetch:island;fetch:mountain;fetch:plains;fetch:swamp;ramp,,3
Fatal Fissure,Instant,2,B,{1}{B},,,,,3
Fate of the Sun-Cryst,Instant,5,W,{4}{W},,,removal,,3
Fateful Discovery,Enchantment,5,U,{3}{U}{U},,,draw,,3
Fateful Tempest,Sorcery,3,R,{2}{R},,,,,3
Fault Riders,Creature,3,R,{2}{R},Human;Soldier,,,2,3
Favorable Winds,Enchantment,2,U,{1}{U},,,,,3
Fear,Enchantment,2,B,{B}{B},Aura,,,,3
Fearsome Goblin Pair,Creature,3,B R,{2}{B/R},Goblin;Soldier,,,1,3
Feast of the Unicorn,Enchantment,4,B,{3}{B},Aura,,,,3
Feed the Flames,Instant,4,R,{3}{R},,,,,3
Feed the Swarm,Sorcery,2,B,{1}{B},,,removal,,3
Feisty Spikeling,Creature,2,R W,{1}{R/W},Shapeshifter,,,2,3
Fell Gravship,Artifact,3,B,{2}{B},Spacecraft,,,3,3
Fellwar Stone,Artifact,2,,{2},,W U B R G,ramp;rock,,3
Fend Off,Instant,2,W,{1}{W},,,draw,,3
Feral Appetite,Enchantment,3,G,{2}{G},,,removal,,3
Ferocity,Enchantment,2,G,{1}{G},Aura,,,,3
Fertile Ground,Enchantment,2,G,{1}{G},Aura,W U B R G,,,3
Festering Thicket,Land,0,B G,,Swamp;Forest,B G,draw;etb-tapped,,3
Fetid Heath,Land,0,B W,,,W B C,mana3,,3
Fetid Horror,Creature,4,B,{3}{B},Shade;Horror,,,1,3
Fields of Strife,Land,0,R W,,,W R,etb-tapped,,3
Fiendish Panda,Creature,4,B W,{2}{W}{B},Bear;Demon,,,3,3
Fiery Confluence,Sorcery,4,R,{2}{R}{R},,,removal,,3
Fiery Emancipation,Enchantment,6,R,{3}{R}{R}{R},,,,,3
Fight On!,Instant,3,B,{2}{B},,,,,3
Fin Fang Foom,Creature,4,R,{2}{R}{R},Alien;Dragon;Villain,,,3,3
Final Act,Sorcery,6,B,{4}{B}{B},,,wipe,,3
Final Fortune,Instant,2,R,{R}{R},,,,,3
Final Judgment,Sorcery,6,W,{4}{W}{W},,,wipe,,3
Fire Lord Azula,Creature,4,B R U,{1}{U}{B}{R},Human;Noble,R,mana2,4,3
Fire Nation Cadets,Creature,1,R,{R},Human;Soldier,R,mana2,1,3
Fire Nation Palace,Land,0,R,,,R,etb-tapped-cond;mana3,,3
Fire Nation Raider,Creature,4,R,{3}{R},Human;Soldier,,draw,4,3
Fire Nation Warship,Artifact,3,,{3},Vehicle,,draw,4,3
Fire Navy Trebuchet,Creature,3,B,{2}{B},Wall,,,0,3
Fire Sages,Creature,2,R,{1}{R},Human;Cleric,R,,2,3
Fire-Lit Thicket,Land,0,G R,,,R G C,mana3,,3
Firebending Lesson,Instant,1,R,{R},Lesson,,,,3
"Firebird, Blazing Ranger",Creature,3,R,{2}{R},Human;Ranger;Hero,,,1,3
Fireshrieker,Artifact,3,,{3},Equipment,,,,3
First-Time Flyer,Creature,2,U,{1}{U},Human;Pilot;Ally,,,1,3
Fit of Rage,Sorcery,2,R,{1}{R},,,,,3
Flailing Soldier,Creature,1,R,{R},Human;Soldier,,,2,3
Flame Elemental,Creature,4,R,{2}{R}{R},Elemental,,,3,3
Flame Rift,Sorcery,2,R,{1}{R},,,,,3
Flame Spirit,Creature,5,R,{4}{R},Elemental;Spirit,,,2,3
Flame-Chain Mauler,Creature,2,R,{1}{R},Elemental;Warrior,,,2,3
Flameshot,Sorcery,4,R,{3}{R},,,,,3
Flaming Sword,Enchantment,2,R,{1}{R},Aura,,,,3
"Flash Thompson, Spider-Fan",Creature,2,W,{1}{W},Human;Citizen,,,2,3
Flashfires,Sorcery,4,R,{3}{R},,,wipe,,3
Flatman,Creature,4,G,{3}{G},Mutant;Hero,,,1,3
Fledgling Djinn,Creature,2,B,{1}{B},Djinn,,,2,3
Fling,Instant,2,R,{1}{R},,,,,3
Flint Golem,Creature,4,,{4},Golem,,,2,3
Flock Impostor,Creature,3,W,{2}{W},Shapeshifter,,,2,3
Flood the Engine,Enchantment,3,U,{2}{U},Aura,,,,3
Flowstone Armor,Artifact,3,,{3},,,,,3
Flowstone Hellion,Creature,5,R,{4}{R},Hellion;Beast,,,3,3
Flowstone Shambler,Creature,3,R,{2}{R},Beast,,,2,3
Flowstone Strike,Instant,2,R,{1}{R},,,,,3
Flowstone Surge,Enchantment,2,R,{1}{R},,,,,3
Flowstone Wall,Creature,3,R,{2}{R},Wall,,,0,3
Flying Drone,Creature,2,U,{1}{U},Robot;Scout,,draw,1,3
Flying Octobot,Creature,2,U,{1}{U},Robot;Villain,,,1,3
Fog,Instant,1,G,{G},,,,,3
Fog Bank,Creature,2,U,{1}{U},Wall,,,0,3
Fog Elemental,Creature,3,U,{2}{U},Elemental,,,4,3
Fog Patch,Instant,2,G,{1}{G},,,,,3
Fog of Gnats,Creature,2,B,{B}{B},Insect,,,1,3
Foggy Swamp Spirit Keeper,Creature,3,B U,{1}{U}{B},Human;Druid;Ally,,,2,3
Foggy Swamp Vinebender,Creature,4,G,{3}{G},Human;Plant;Ally,,,4,3
Folk Hero,Enchantment,2,W,{1}{W},Background,,draw,,3
Follow the Lumarets,Sorcery,2,G,{1}{G},,,,,3
Foolish Fate,Instant,3,B,{2}{B},,,removal,,3
Foraging Wickermaw,Creature,2,,{2},Scarecrow,W U B R G,,1,3
Forbidding Watchtower,Land,0,W,,,W,etb-tapped,,3
Force of Will,Instant,5,U,{3}{U}{U},,,counter,,3
Foreboding Ruins,Land,0,B R,,,B R,etb-tapped-cond,,3
Forest,Land,0,G,,Forest,G,,,3
Forge Anew,Enchantment,3,W,{2}{W},,,,,3
Fortified Village,Land,0,G W,,,W G,etb-tapped-cond,,3
Forum Necroscribe,Creature,6,B,{5}{B},Troll;Warlock,,,5,3
Forum of Amity,Land,0,B W,,,W B,etb-tapped,,3
Foul Familiar,Creature,3,B,{2}{B},Spirit,,,3,3
Foul Imp,Creature,2,B,{B}{B},Imp,,,2,3
Fountain Watch,Creature,5,W,{3}{W}{W},Human;Cleric,,,2,3
Fountain of Cho,Land,0,W,,,W,etb-tapped,,3
Foxfire,Instant,3,G,{2}{G},,,draw,,3
Fractal Anomaly,Instant,1,U,{U},,,,,3
Fractal Mascot,Creature,6,G U,{4}{G}{U},Fractal;Elk,,,6,3
Fractal Tender,Creature,5,G U,{3}{G}{U},Elf;Wizard,,,3,3
Fracture,Instant,2,B W,{W}{B},,,removal,,3
Frantic Search,Instant,3,U,{2}{U},,,draw,,3
Freestrider Commando,Creature,3,G,{2}{G},Centaur;Mercenary,,,3,3
Fresh Start,Enchantment,2,U,{1}{U},Aura,,,,3
Front Porch Sentries,Creature,2,B,{1}{B},Goblin;Soldier,,,2,3
Frontline Rush,Instant,2,R W,{R}{W},,,,,3
Frostboil Snarl,Land,0,R U,,,U R,etb-tapped-cond,,3
Frostcliff Siege,Enchantment,3,R U,{1}{U}{R},,,draw,,3
Frozen in Ice,Enchantment,3,U,{2}{U},Aura,,,,3
Fumarole,Sorcery,5,B R,{3}{B}{R},,,removal,,3
Furious Assault,Enchantment,3,R,{2}{R},,,,,3
Furious Rise,Enchantment,3,R,{2}{R},,,,,3
Furnace Spirit,Creature,3,R,{2}{R},Spirit,,,1,3
Furycalm Snarl,Land,0,R W,,,W R,etb-tapped-cond,,3
Fuss // Bother,Instant,9,R U W,{2}{R/W} // {4}{W/U}{W/U},,,,,3
Futurist Forge,Artifact,2,U,{1}{U},,,draw,,3
Fyndhorn Brownie,Creature,3,G,{2}{G},Ouphe,,,1,3
Fíli the Pathfinder,Creature,4,W,{3}{W},Dwarf;Scout,,,2,3
G'raha Tia,Creature,5,W,{4}{W},Cat;Archer,,draw,3,3
"G'raha Tia, Scion Reborn",Creature,3,B U W,{W}{U}{B},Cat;Wizard,,,2,3
Gadget Technician,Creature,4,R U,{2}{U}{R},Goblin;Artificer,,,3,3
Gaelicat,Creature,3,W,{2}{W},Cat,,,1,3
Galadriel's Dismissal,Instant,1,W,{W},,,,,3
"Galion, Elvenking's Butler",Creature,4,G,{2}{G}{G},Elf;Advisor,,,4,3
Gallant Citizen,Creature,2,G W,{G/W}{G/W},Human;Citizen,,draw,1,3
Gallant Fowlknight,Creature,4,W,{3}{W},Kithkin;Knight,,,3,3
Galuf's Final Act,Instant,2,G,{1}{G},,,,,3
Game Trail,Land,0,G R,,,R G,etb-tapped-cond,,3
"Ganax, Astral Hunter",Creature,5,R,{4}{R},Dragon,W U B R G,dork;ramp,3,3
"Gandalf, Goblins' Bane // Flameshape",Creature,3,R,{2}{R} // {1}{R},Avatar;Wizard,,,2,3
"Gandalf, Spark Starter",Creature,6,R,{4}{R}{R},Avatar;Wizard,,,4,3
"Gandalf, Wandering Wizard",Creature,5,U,{4}{U},Avatar;Wizard,,draw,4,3
Gangly Stompling,Creature,3,G R,{2}{R/G},Shapeshifter,,,4,3
Gangrenous Zombies,Creature,3,B,{1}{B}{B},Zombie,,,2,3
"Garnet, Princess of Alexandria",Creature,2,G W,{G}{W},Human;Noble;Cleric,,,2,3
Gas Guzzler,Creature,1,B,{B},Vampire;Rogue,,draw,2,3
Gaseous Form,Enchantment,3,U,{2}{U},Aura,,,,3
Gastal Thrillseeker,Creature,2,B R,{B}{R},Lizard;Berserker,,,2,3
Gathering Place,Land,0,G W,,,W G C,,,3
Gathering of Darkness,Sorcery,4,B,{3}{B},,,,,3
Gaze of Pain,Sorcery,2,B,{1}{B},,,,,3
Gearbane Orangutan,Creature,3,R,{2}{R},Ape,,,2,3
Gearseeker Serpent,Creature,7,U,{5}{U}{U},Serpent,,,5,3
Gene Pollinator,Creature,1,G,{G},Robot;Insect,W U B R G,dork;ramp;rock,1,3
Generous Gift,Instant,3,W,{2}{W},,,removal,,3
Geode Rager,Creature,6,R,{4}{R}{R},Elemental,,,4,3
Germination Practicum,Sorcery,5,G,{3}{G}{G},Lesson,,,,3
Gerrard's Irregulars,Creature,5,R,{4}{R},Human;Soldier,,,4,3
Get a Leg Up,Instant,1,G,{G},,,,,3
Getaway Barrel,Artifact,4,R,{3}{R},,,,,3
Getaway Glamer,Instant,1,W,{W},,,removal,,3
Geyser Drake,Creature,3,U,{2}{U},Drake,,,2,3
Geyser Leaper,Creature,5,U,{4}{U},Human;Warrior;Ally,,draw,4,3
Ghitu Encampment,Land,0,R,,,R,etb-tapped,,3
Ghitu Fire-Eater,Creature,3,R,{2}{R},Human;Nomad,,,2,3
Ghitu Slinger,Creature,3,R,{2}{R},Human;Nomad,,,2,3
Ghitu War Cry,Enchantment,3,R,{2}{R},,,,,3
"Ghost, Spectral Saboteur",Creature,3,B U,{2}{U/B},Human;Rogue;Villain,,,2,3
Ghostly Prison,Enchantment,3,W,{2}{W},,,,,3
Giant Caterpillar,Creature,4,G,{3}{G},Insect,,,3,3
Giant Growth,Instant,1,G,{G},,,,,3
Giant's Boulder,Artifact,1,,{1},,W U B R G,ramp;rock,,3
Giant-Sized Flying Ant,Creature,4,U,{3}{U},Insect,,,3,3
Gideon Jura,Planeswalker,5,W,{3}{W}{W},Gideon,,,,3
Gift of Immortality,Enchantment,3,W,{2}{W},Aura,,,,3
Gigantic Big Bear,Creature,7,G,{5}{G}{G},Bear,,,10,3
Gila Courser,Creature,3,R,{2}{R},Lizard;Mount,,,4,3
Gilded Ghoda,Creature,2,R,{1}{R},Horse;Mount,W U B R G,dork;ramp,2,3
Gilded Goose,Creature,1,G,{G},Bird,W U B R G,dork;ramp,0,3
Gilt-Leaf's Embrace,Enchantment,3,G,{2}{G},Aura,,,,3
"Giott, King of the Dwarves",Creature,2,R W,{R}{W},Dwarf;Noble,,draw,1,3
Glacial Fortress,Land,0,U W,,,W U,etb-tapped-cond,,3
Glacial Wall,Creature,3,U,{2}{U},Wall,,,0,3
Gladiolus Amicitia,Creature,6,G R,{4}{R}{G},Human;Warrior,,fetch:land;ramp,6,3
"Glamdring, Foe-hammer // Gleam of Death",Artifact,2,U,{2} // {3}{U},Equipment,,,,3
Glamermite,Creature,3,U,{2}{U},Faerie;Rogue,,,2,3
Glasses of Urza,Artifact,1,,{1},,,,,3
Gleaming Barrier,Creature,2,,{2},Wall,W U B R G,dork;ramp;rock,0,3
Gleaming Bastion,Land,0,U W,,,W U C,,,3
Gleaming Splendor,Enchantment,2,W,{1}{W},,,draw,,3
Glider Kids,Creature,3,W,{2}{W},Human;Pilot;Ally,,,2,3
Glitch Ghost Surveyor,Creature,3,U,{2}{U},Spirit;Scout,,draw,2,3
Glittering Lynx,Creature,1,W,{W},Cat,,,1,3
Glittering Massif,Land,0,R W,,Mountain;Plains,W R,draw;etb-tapped,,3
Glorious Decay,Instant,2,G,{1}{G},,,draw;removal,,3
Glóin the Mighty // Easy Pickings,Creature,4,R,{3}{R} // {2}{R},Dwarf;Warrior,R,mana2,4,3
Gnashing of Teeth,Sorcery,3,B,{1}{B}{B},,,,,3
Go Nuts!,Sorcery,1,G,{G},,,,,3
Goatnap,Sorcery,3,R,{2}{R},,,,,3
Goblin Boarders,Creature,3,R,{2}{R},Goblin;Pirate,,,3,3
Goblin Cadets,Creature,1,R,{R},Goblin,,,2,3
Goblin Digging Team,Creature,1,R,{R},Goblin,,,1,3
Goblin Elite Infantry,Creature,2,R,{1}{R},Goblin;Warrior,,,2,3
Goblin Glasswright // Craft with Pride,Creature,2,R,{1}{R} // {R},Goblin;Sorcerer,W U B R G,,2,3
Goblin Hero,Creature,3,R,{2}{R},Goblin,,,2,3
Goblin Lackey,Creature,1,R,{R},Goblin,,,1,3
Goblin Medics,Creature,3,R,{2}{R},Goblin;Shaman,,,1,3
Goblin Plate Mail,Artifact,2,B R,{1}{B/R},Equipment,,,,3
Goblin Raider,Creature,2,R,{1}{R},Goblin;Warrior,,,2,3
Goblin Recruiter,Creature,2,R,{1}{R},Goblin,,,1,3
Goblin Snowman,Creature,4,R,{3}{R},Goblin,,,1,3
Goblin Spelunkers,Creature,3,R,{2}{R},Goblin;Warrior,,,2,3
Goblin Surveyor,Creature,3,R,{2}{R},Goblin;Scout,,draw,3,3
Goblin Welder,Creature,1,R,{R},Goblin;Artificer,,,1,3
Goblin-town Flunkies,Creature,2,R,{1}{R},Goblin;Soldier,,,1,3
"Godo, Bandit Warlord",Creature,6,R,{5}{R},Human;Barbarian,,,3,3
Gold Rush,Instant,2,G,{1}{G},,,,,3
Goldmeadow Nomad,Creature,1,W,{W},Kithkin;Scout,,,1,3
Gollum the Abandoned,Creature,2,B,{1}{B},Halfling;Horror,,,2,3
"Gollum, Silent Slinker // Meager Meal",Creature,4,B,{3}{B} // {B},Halfling;Horror,,,4,3
"Gongaga, Reactor Town",Land,0,G R,,Town,R G,etb-tapped,,3
Gorilla Chieftain,Creature,4,G,{2}{G}{G},Ape,,,3,3
Gorilla Warrior,Creature,3,G,{2}{G},Ape;Warrior,,,3,3
"Gorma, the Gullet",Creature,3,B G,{1}{B}{G},Pest;Frog,,,1,3
Gran Pulse Ochu,Creature,1,G,{G},Plant;Beast,,,1,3
Granger Guildmage,Creature,1,G R W,{G},Human;Wizard,,,1,3
Granite Grip,Enchantment,3,R,{2}{R},Aura,,,,3
Granite Witness,Creature,4,U W,{2}{W}{U},Gargoyle;Detective,,,3,3
Grapple with Death,Sorcery,3,B G,{1}{B}{G},,,removal,,3
Gravebane Zombie,Creature,4,B,{3}{B},Zombie,,,3,3
Gravedigger,Creature,4,B,{3}{B},Zombie,,,2,3
Gravelgill Scoundrel,Creature,2,U,{1}{U},Merfolk;Rogue,,,1,3
Gravestone Strider,Creature,2,,{2},Golem,W U B R G,,1,3
Gravitational Shift,Enchantment,5,U,{3}{U}{U},,,,,3
"Graviton, Fundamental Force",Creature,3,U,{2}{U},Human;Villain,,,3,3
Great Forest Druid,Creature,2,G,{1}{G},Treefolk;Druid,W U B R G,dork;ramp,0,3
Great Gilded Boat,Artifact,3,U,{2}{U},Vehicle,,draw,4,3
Great Ugly-Looking Goblin // Clap! Snap!,Creature,6,B,{5}{B} // {1}{B},Goblin;Soldier,,,4,3
"Green Goblin, Revenant",Creature,5,B R,{3}{B}{R},Goblin;Human;Villain,,draw,3,3
Greenbelt Radical,Creature,4,G,{3}{G},Centaur;Citizen,,,4,3
Griffnaut Tracker,Creature,4,W,{3}{W},Human;Detective,,,3,3
Grim Backwoods,Land,0,B G,,,C,draw,,3
Grim Bauble,Artifact,1,B,{B},,,,,3
Grim Javelineer,Creature,3,B,{2}{B},Human;Warrior,,,3,3
Grim Reaper's Sprint,Enchantment,5,R,{4}{R},Aura,,,,3
"Grim Reaper, Lethal Legionnaire",Creature,4,B,{3}{B},Human;Villain,,,3,3
Grim Tutor,Sorcery,3,B,{1}{B}{B},,,,,3
Grizzly Bears,Creature,2,G,{1}{G},Bear,,,2,3
Grounded for Life,Instant,5,W,{4}{W},,,removal,,3
Group Project,Sorcery,2,W,{1}{W},,,,,3
Grow Extra Arms,Instant,2,G,{1}{G},,,,,3
Grow from the Ashes,Sorcery,3,G,{2}{G},,,fetch:basic;ramp,,3
Guardian Scalelord,Creature,5,W,{4}{W},Dragon,,,3,3
Guardian of Faith,Creature,3,W,{1}{W}{W},Spirit;Knight,,,3,3
Guardian of the Halls,Creature,2,G,{1}{G},Elf;Soldier,,,2,3
Guerrilla Gorilla,Creature,2,G,{1}{G},Ape;Soldier;Hero,,,2,3
Guided Strike,Instant,2,W,{1}{W},,,draw,,3
Guidelight Optimizer,Creature,2,U,{1}{U},Robot,U,dork;mana-restricted;ramp;rock,2,3
Gundabad Opportunist,Creature,4,R,{3}{R},Goblin;Rogue,,,4,3
Gunner Conscript,Creature,2,G,{1}{G},Human;Mercenary,,,2,3
Guru Pathik,Creature,4,G U,{2}{G/U}{G/U},Human;Monk;Ally,,,2,3
Gush,Instant,5,U,{4}{U},,,draw,,3
Guttersnipe,Creature,3,R,{2}{R},Goblin;Shaman,,,2,3
Guy in the Chair,Creature,3,G,{2}{G},Human;Advisor,W U B R G,dork;ramp,2,3
"Gwenna, Eyes of Gaea",Creature,3,G,{2}{G},Elf;Druid;Scout,W U B R G,dork;mana-restricted;ramp,2,3
"Gyome, Master Chef",Creature,4,B G,{2}{B}{G},Troll;Warlock,,,5,3
Gysahl Greens,Sorcery,2,G,{1}{G},,,,,3
H.E.R.B.I.E. Scout Unit,Creature,4,,{4},Robot;Scout,,draw,2,3
HULK SMASH!,Instant,2,R,{1}{R},,,removal,,3
HYDRA Assault Robot,Creature,2,R,{1}{R},Robot;Villain,,,1,3
HYDRA Infiltration,Enchantment,4,B,{3}{B},,,,,3
"Haliya, Ascendant Cadet",Creature,5,G W,{2}{G}{W}{W},Human;Soldier,,draw,3,3
"Haliya, Guided by Light",Creature,3,W,{2}{W},Human;Soldier,,draw,3,3
"Hama, the Bloodbender",Creature,5,B U,{2}{U/B}{U/B}{U/B},Human;Warlock,,,3,3
Hammer Mage,Creature,2,R,{1}{R},Human;Spellshaper,,,1,3
Hammerhead Shark,Creature,2,U,{1}{U},Shark,,,2,3
Hanged Executioner,Creature,3,W,{2}{W},Spirit,,,1,3
Hanna's Custody,Enchantment,3,W,{2}{W},,,,,3
Hard-Won Jitte,Artifact,2,R,{1}{R},Equipment,,,,3
Hardened Academic,Creature,2,R W,{R}{W},Bird;Cleric,,,2,3
Harmattan Efreet,Creature,4,U,{2}{U}{U},Efreet,,,2,3
Harmonize,Sorcery,4,G,{2}{G}{G},,,draw,,3
Harmonized Crescendo,Instant,6,U,{4}{U}{U},,,draw,,3
Harsh Annotation,Instant,2,W,{1}{W},,,removal,,3
Harvest Mage,Creature,1,G,{G},Human;Spellshaper,,,1,3
Haste Magic,Instant,2,R,{1}{R},,,,,3
Hate Mirage,Sorcery,4,R,{3}{R},,,,,3
Haunt the Network,Sorcery,5,B U,{3}{U}{B},,,,,3
Haunted Crossroads,Enchantment,3,B,{2}{B},,,,,3
Haunted Hellride,Artifact,3,B U,{1}{U}{B},Vehicle,,,3,3
Haunted Mire,Land,0,B G,,Swamp;Forest,B G,etb-tapped,,3
Haven of the Spirit Dragon,Land,0,,,,W U B R G C,mana-restricted,,3
Havenwood Battleground,Land,0,G,,,G,etb-tapped;mana2,,3
Hawkeater Moth,Creature,4,G,{3}{G},Insect,,,1,3
Hawkeye's Bow,Artifact,1,R,{R},Equipment,,,,3
"Hawkeye, Avenging Archer",Creature,4,R U,{2}{U}{R},Human;Archer;Hero,,draw,3,3
"Hawkeye, Master Marksman",Creature,2,R,{1}{R},Human;Archer;Hero,,draw,2,3
"Hawkeye, Young Avenger",Creature,4,R,{3}{R},Human;Archer;Hero,,,2,3
Haywire Mite,Creature,1,G,{1},Insect,,,1,3
Hazard of the Dunes,Creature,4,G,{3}{G},Wurm,,,4,3
Head of the Hunt,Creature,4,B,{2}{B}{B},Wolf,,,4,3
Headlong Rush,Instant,2,R,{1}{R},,,,,3
Healing Salve,Instant,1,W,{W},,,,,3
Hearth Charm,Instant,1,R,{R},,,removal,,3
Heartless Pillage,Sorcery,3,B,{2}{B},,W U B R G,,,3
Heated Argument,Instant,5,R,{4}{R},,,,,3
Hecatomb,Enchantment,3,B,{1}{B}{B},,,,,3
Hecteyes,Creature,2,B,{1}{B},Ooze;Horror,,,1,3
Hedron Archive,Artifact,4,,{4},,C,draw;mana2;ramp;rock,,3
"Heidegger, Shinra Executive",Creature,4,W,{3}{W},Human;Soldier,,,3,3
Heightened Awareness,Enchantment,5,U,{3}{U}{U},,,,,3
"Helga, Skittish Seer",Creature,3,G U W,{G}{W}{U},Frog;Druid,W U B R G,dork;draw;mana-restricted;ramp,1,3
Helicarrier Strike,Instant,1,W,{W},,,,,3
Helitrooper,Creature,2,W,{1}{W},Human;Soldier,,,1,3
"Hellcat, Undying Vigilante",Creature,2,G,{G}{G},Human;Hero,,,2,3
Hellish Sideswipe,Sorcery,1,B,{B},,,draw;removal,,3
Hellkite Courser,Creature,6,R,{4}{R}{R},Dragon,,,6,3
Hellkite Tyrant,Creature,6,R,{4}{R}{R},Dragon,,,6,3
Henge of Ramos,Land,0,,,,W U B R G C,,,3
Herald of Serra,Creature,4,W,{2}{W}{W},Angel,,,3,3
"Hercules, Olympian Hero",Creature,5,W,{3}{W}{W},Demigod;Warrior;Hero,,,3,3
"Hercules, Prince of Power",Creature,3,G,{2}{G},Demigod;Warrior;Hero,,,3,3
"Hermes, Overseer of Elpis",Creature,4,U,{3}{U},Elder;Wizard,,,2,3
Hero in Training,Creature,3,W,{2}{W},Human;Hero,,draw,2,3
Hero's Blade,Artifact,2,,{2},Equipment,,,,3
Hero's Heirloom,Artifact,2,,{2},Equipment,,,,3
Heroes for Hire,Enchantment,5,R,{3}{R}{R},,W U B R G,,,3
Heroes' Hangout,Sorcery,1,R,{R},,,,,3
Heroic Feast,Enchantment,3,G,{2}{G},,,,,3
Heroic Intervention,Instant,2,G,{1}{G},,,,,3
Heroic Return,Instant,6,W,{5}{W},,,,,3
Heroic Sacrifice,Instant,2,W,{1}{W},,,draw,,3
Heroic Teamwork,Instant,3,W,{2}{W},,,draw,,3
Hibernation Sliver,Creature,2,B U,{U}{B},Sliver,,,2,3
Hickory Woodlot,Land,0,G,,,G,etb-tapped;mana2,,3
Hidden Horror,Creature,3,B,{1}{B}{B},Horror,,,4,3
Hidden Lair,Land,0,B U,,,U B C,,,3
Hide on the Ceiling,Instant,1,U,{X}{U},,,,,3
High Market,Land,0,,,,C,,,3
Hildibrand Manderville // Gentleman's Rise,Creature,2,B W,{1}{W} // {2}{B},Human;Detective,,,2,3
Hire a Crew,Instant,3,R,{2}{R},,,,,3
Hired Giant,Creature,4,R,{3}{R},Giant,,,4,3
Hobbit Hole,Land,0,,,,,fetch:basic;ramp,,3
"Hobgoblin, Mantled Marauder",Creature,2,R,{1}{R},Goblin;Human;Villain,,,1,3
Hofri Ghostforge,Creature,5,R W,{3}{R}{W},Dwarf;Cleric,,,4,3
Hollow Marauder,Creature,7,B,{6}{B},Specter;Rogue,,draw,4,3
Homesickness,Instant,6,U,{4}{U}{U},,,,,3
Honest Work,Enchantment,1,U,{U},Aura,C,,,3
Honorbound Page // Forum's Favor,Creature,4,W,{3}{W} // {W},Cat;Cleric,,,3,3
Hoodwink,Instant,2,U,{1}{U},,,,,3
Hope Estheim,Creature,2,U W,{W}{U},Human;Wizard,,,2,3
Hope and Glory,Instant,2,W,{1}{W},,,,,3
Horizon of Progress,Land,0,,,,W U B R G,draw,,3
Horn of Greed,Artifact,3,,{3},,,draw,,3
Horned Troll,Creature,3,G,{2}{G},Troll,,,2,3
Horned Turtle,Creature,3,U,{2}{U},Turtle,,,1,3
Hot Dog Cart,Artifact,3,,{3},,W U B R G,ramp;rock,,3
Hour of Defeat,Instant,4,B,{3}{B},,,removal,,3
How to Start a Riot,Instant,3,R,{2}{R},Lesson,,,,3
Howl from Beyond,Instant,1,B,{X}{B},,,,,3
Howling Wolf,Creature,4,G,{2}{G}{G},Wolf,,,2,3
Hraesvelgr of the First Brood,Creature,5,U,{4}{U},Elder;Dragon,,,5,3
"Hulk, Brutal Brawler",Creature,4,G,{2}{G}{G},Gamma;Berserker;Hero,,,4,3
"Hulk, Gamma Goliath",Creature,5,G R,{3}{R}{G},Gamma;Berserker;Hero,,,6,3
Hulkbuster Armor,Artifact,4,,{4},Equipment,,,,3
Hulking Cyclops,Creature,5,R,{3}{R}{R},Cyclops,,,5,3
"Hulkling, Burgeoning Bruiser",Creature,3,G,{2}{G},Kree;Skrull;Hero,,,2,3
"Hulkling, Young Avenger",Creature,4,R,{2}{R}{R},Kree;Skrull;Hero,,,4,3
Hulldrifter,Artifact,5,U,{3}{U}{U},Vehicle,,draw,3,3
"Human Torch, Johnny Storm",Creature,3,R,{2}{R},Human;Hero,,draw,2,3
Humble,Instant,2,W,{1}{W},,,,,3
Hungry Graffalon,Creature,4,G,{3}{G},Giraffe,,,3,3
Hydraulic Helper,Creature,2,U,{1}{U},Robot,U,dork;ramp;rock,2,3
Hydro-Channeler,Creature,2,U,{1}{U},Merfolk;Wizard,W U B R G,dork;mana-restricted;ramp,1,3
